"","V1","ta2","V1.1","ta2.1","V1.2","ta2.2"
"중국","중국","1208","중국","1331","미국","1238"
"국내","국내","1110","신종","1201","따르면","999"
"따르면","따르면","890","국내","926","밝혔다","837"
"미국","미국","810","따르면","909","신종","811"
"서울","서울","770","확진자","838","국내","770"
"밝혔다","밝혔다","746","코로나","780","마스크","737"
"우한","우한","740","관계자는","763","코로나바이러스","729"
"신종","신종","665","밝혔다","743","코로나","695"
"관계자는","관계자는","656","미국","640","관계자는","689"
"다른","다른","584","서울","617","글로벌","649"
"글로벌","글로벌","576","다른","602","확진자","646"
"함께","함께","570","마스크","581","이상","628"
"한국","한국","561","코로나바이러스","535","서울","598"
"사진","사진","488","함께","521","대비","590"
"이상","이상","474","대비","513","만에","587"
"대비","대비","466","이상","455","중국","577"
"최대","최대","450","신천지","440","서비스","508"
"가운데","가운데","443","한국","432","감염증","488"
"서비스","서비스","438","오늘의","414","모든","485"
"시장","시장","428","글로벌","408","세계","454"
"세계","세계","418","사진","392","모두","444"
"그는","그는","417","최대","375","최대","443"
"모두","모두","410","서비스","367","한국","440"
"부동산","부동산","384","있다는","367","다른","426"
"폐렴","폐렴","380","모두","366","가운데","423"
"오늘의","오늘의","379","높은","334","함께","397"
"만에","만에","361","많은","332","뉴스를","369"
"있다는","있다는","360","가운데","331","있다는","368"
"코로나","코로나","356","일본","326","추가","349"
"다양한","다양한","353","운세","318","트럼프","347"
"작년","작년","334","시장","317","따른","340"
"일본","일본","333","오는","304","주요","336"
"새로운","새로운","332","신종코로나","295","각각","329"
"높은","높은","324","주요","295","공매도","321"
"많은","많은","317","추가","294","시장","313"
"주요","주요","313","설명했다","281","그는","311"
"아주경제","아주경제","296","만에","280","무료","307"
"등의","등의","288","모든","279","설명했다","295"
"이란","이란","287","감염증","276","GO","291"
"추가","추가","286","각각","269","일본","287"
"많이","많이","284","다양한","264","고화질","281"
"기존","기존","283","세계","263","메인에서","281"
"만큼","만큼","276","확진자가","259","온에어","281"
"경제","경제","274","따른","244","오늘","274"
"운세","운세","274","만큼","243","화제뉴스","271"
"설명했다","설명했다","268","것을","242","많은","267"
"있어","있어","266","등의","236","일부","261"
"때문이다","때문이다","264","확진","230","경제","259"
"오는","오는","257","예정이다","223","등의","257"
"각각","각각","255","아파트","221","신천지","247"
"뉴스","뉴스","248","감염","220","아파트","247"
"것을","것을","245","오늘","218","사진","243"
"따른","따른","245","일부","213","확진자가","243"
"Copyright","Copyright","238","그는","212","온라인","241"
"아니라","아니라","236","있어","212","기존","234"
"모든","모든","224","단독","210","때문이다","232"
"코로나바이러스","코로나바이러스","224","날입니다","208","않은","228"
"사업","사업","216","아주경제","208","만큼","227"
"역시","역시","210","우한","208","높은","220"
"신격호","신격호","209","매출","206","오는","220"
"CES","CES","205","부동산","204","있다며","219"
"회장","회장","205","해외","204","정부가","219"
"삼성전자","삼성전자","202","때문이다","200","앞서","218"
"가능성이","가능성이","201","있다며","198","내린","213"
"기업","기업","191","마세요","195","있어","213"
"있다며","있다며","191","사업","195","오전","211"
"투자","투자","183","새로운","195","것을","210"
"예정이다","예정이다","178","경제","191","온라인뉴스팀","208"
"아파트","아파트","177","기존","190","오른","204"
"추천기사","추천기사","177","역시","187","역시","197"
"전체","전체","175","아니라","184","지원","187"
"반도체","반도체","173","등에","177","정부","185"
"트럼프","트럼프","166","있어요","172","부동산","181"
"당시","당시","165","대구","170","대표는","178"
"있어요","있어요","165","투자","169","가능성이","177"
"영향을","영향을","164","해당","169","경기","176"
"번째","번째","163","경기","166","이탈리아","165"
"보인다","보인다","158","대표는","166","규모의","164"
"마세요","마세요","154","정부는","166","정부는","163"
"정부가","정부가","154","Copyright","164","아니라","156"
"좋은","좋은","154","오후","162","오후","156"
"강남구","강남구","147","작년","156","주가가","150"
"오늘","오늘","147","확산","155","마스크를","148"
"대표는","대표는","146","전체","153","사회적","148"
"좋습니다","좋습니다","146","가능성이","152","달러","147"
"연휴","연휴","144","앞서","151","다양한","146"
"AI","AI","143","전년","149","확진","144"
"그러나","그러나","139","기간","147","기업","142"
"않은","않은","136","정부가","143","금융위기","141"
"확진자","확진자","136","정부","142","거래를","139"
"일부","일부","134","펀드","142","포인트","139"
"경기","경기","133","삼성전자","140","이달","137"
"연구원은","연구원은","133","바이러스","138","회장","136"
"정부","정부","132","마스크를","135","등에","135"
"회장은","회장은","132","갤럭시","134","직접","134"
"평균","평균","131","기생충","134","투자","131"
"뉴스를","뉴스를","124","많이","134","많이","130"
"우리","우리","124","좋은","134","이미","127"
"확산","확산","124","지역","133","전날","127"
"크게","크게","121","환자","131","유럽","125"
"the","the","120","온라인","129","대한항공","122"
"롯데그룹","롯데그룹","120","트럼프","127","오늘의","122"
"없다","없다","114","공시","126","크게","122"
"해외","해외","113","배터리","125","신규","119"
"등으로","등으로","111","뉴스를","119","하루","116"
"명예회장의","명예회장의","111","더욱","119","대통령은","114"
"명예회장은","명예회장은","110","무료","119","확산","113"
"to","to","107","않은","119","대출","110"
"여성","여성","106","좋습니다","117","검사","107"
"것도","것도","105","베트남","115","n번방","106"
"앞서","앞서","103","이미","112","조현아","105"
"전년","전년","103","기업","101","전국","102"
"정부는","정부는","102","뉴스","100","주식","102"
"TV","TV","98","당시","99","거리두기","100"
"등에","등에","98","추천기사","97","동안","97"
"신종코로나","신종코로나","98","없다","90","베트남","95"
"배달","배달","96","검사","89","사실상","95"
"이미","이미","96","판매","89","운세","91"
"롯데","롯데","95","등으로","85","지수는","90"
"직접","직접","93","전재","84","독일","89"
"오후","오후","91","영향을","83","긴급","88"
"단독","단독","88","라임","82","있어요","88"
"베트남","베트남","88","영화","80","그러나","87"
"전재","전재","87","하세요","80","한진그룹","86"
"결과","결과","86","계획이다","79","금리","85"
"계획이다","계획이다","86","있을","79","뉴스","85"
"영등포구","영등포구","85","크게","79","아주경제","85"
"결국","결국","83","회장","79","밝혔습니다","84"
"없이","없이","83","않고","78","예정이다","83"
"재건축","재건축","82","평균","78","Copyright","82"
"회장의","회장의","82","결국","77","결국","82"
"당첨번호","당첨번호","81","환자가","77","않고","82"
"향후","향후","81","것입니다","75","기준금리를","81"
"마스크","마스크","80","논란","75","당시","81"
"주택","주택","80","수도","75","유동성","81"
"더욱","더욱","78","신규","75","장중","80"
"명절","명절","78","주식","74","사태가","79"
"미중","미중","78","바이러스가","73","연구원은","79"
"영상","영상","78","직접","72","대응","78"
"있을","있을","78","결과","71","삼성전자","78"
"연속","연속","77","기록했다","71","있지만","78"
"날입니다","날입니다","76","대상으로","71","회사채","77"
"브랜드","브랜드","75","of","70","개인","76"
"이투데이","이투데이","75","수원","70","임시","76"
"제공","제공","75","브랜드","69","인한","75"
"서구","서구","74","고화질","68","전했다","74"
"강조했다","강조했다","73","서비스를","68","감염","73"
"신동빈","신동빈","73","어떤","68","금리를","73"
"있고","있고","73","가격","67","등으로","72"
"바이러스","바이러스","72","띠별","66","영향을","72"
"중구","중구","72","매출액은","66","매출","71"
"데이터","데이터","71","부품","65","전체","70"
"된다","된다","70","그러나","64","조원태","70"
"새해","새해","70","보이는","64","한진칼","70"
"대상으로","대상으로","69","규모의","63","미국의","69"
"오른","오른","68","필요한","63","주가","69"
"이라크","이라크","68","부문","61","마세요","68"
"자동차","자동차","68","하루","61","없다","68"
"판매","판매","68","그런","60","이만희","67"
"띠별","띠별","67","반도체","60","귀가","66"
"않고","않고","67","받을","60","브랜드","66"
"연간","연간","67","이투데이","60","해당","65"
"공시","공시","66","로또","59","된다","63"
"사외이사","사외이사","66","파격","59","연기","63"
"전망이다","전망이다","66","외국인","58","조주빈","63"
"펀드","펀드","66","교수는","57","타다","63"
"확대","확대","66","나온다","57","민주당","62"
"기업의","기업의","65","운세는","57","바이러스","62"
"동구","동구","65","청약","57","받을","61"
"받을","받을","64","GO","56","개최","60"
"증권사","증권사","64","오전","56","대구","60"
"포인트","포인트","64","은영미","56","서킷브레이커가","60"
"규제","규제","62","인한","56","외국인","60"
"서초구","서초구","62","강조했다","55","이투데이","60"
"해당","해당","62","이제","55","회장은","60"
"확진","확진","62","포인트","55","도쿄올림픽","59"
"회장이","회장이","61","금융","54","물론","59"
"가격","가격","60","된다","54","사태로","59"
"중심으로","중심으로","60","우리","54","자금","58"
"in","in","59","판정을","54","증시","58"
"디스커버리","디스커버리","58","국민연금","53","자동차","57"
"그룹","그룹","57","소비자","53","판정을","57"
"대통령은","대통령은","57","속보","53","하락한","57"
"명예회장","명예회장","57","중국에서","53","디지털","56"
"명예회장이","명예회장이","57","대규모","52","필요한","56"
"아직","아직","57","대형","52","IOC","55"
"운세는","운세는","57","to","51","반면","55"
"경영","경영","56","받은","51","주식을","55"
"사업을","사업을","56","중이다","51","격리","54"
"솔레이마니","솔레이마니","56","the","50","서비스를","54"
"채널","채널","56","보고","50","수도","54"
"보는","보는","54","업계","50","공장","53"
"보고","보고","53","지역사회","50","연준은","53"
"논란","논란","52","폐렴","50","지역","53"
"문제가","문제가","52","바로","49","동네","51"
"어떤","어떤","52","영상","49","전재","51"
"유튜브","유튜브","52","플랫폼","49","좋습니다","51"
"강서구","강서구","51","향후","49","전년","50"
"금리","금리","51","것도","48","정상","50"
"기간","기간","51","블록체인","48","거주","49"
