"","V1","ta2","V1.1","ta2.1","V1.2","ta2.2"
"높은","높은","232","높은","221","모두","253"
"고화질","고화질","229","많은","219","공정하고","251"
"많은","많은","225","일본","215","등이","248"
"온라인","온라인","224","투자","211","신뢰받는","237"
"아파트","아파트","222","각각","204","이에","236"
"이를","이를","220","정부","204","일부","231"
"투자","투자","220","때문이다","201","다만","228"
"GO","GO","214","앞서","196","종합뉴스","225"
"MBN뉴스를","MBN뉴스를","214","mk","195","온라인뉴스팀","223"
"때문이다","때문이다","214","다양한","184","주요","218"
"일본","일본","214","신규","183","신규","212"
"신규","신규","212","추가","182","이를","212"
"그는","그는","206","것을","176","것을","211"
"오늘의","오늘의","205","지원","176","뉴스를","208"
"전년","전년","201","반도체","171","기존","206"
"기업","기업","196","있어","171","사진","193"
"사진","사진","195","오는","170","각각","186"
"뉴스를","뉴스를","193","이달","170","기업","186"
"삼성전자","삼성전자","191","전년","169","시장","183"
"원유","원유","191","해외","164","정부는","181"
"메인에서","메인에서","190","설명했다","158","반도체","175"
"온에어","온에어","190","오늘","155","온라인","168"
"추가","추가","182","크게","155","경기","165"
"일부","일부","179","시장","154","홍콩","162"
"많이","많이","174","새로운","153","따른","151"
"인한","인한","174","사진","152","않은","147"
"하루","하루","173","정부는","151","설명했다","146"
"오른","오른","171","경기","145","모든","135"
"기존","기존","166","온라인","141","새로운","135"
"화제뉴스","화제뉴스","164","이태원","141","높은","134"
"마스크","마스크","163","대통령은","140","삼성전자","126"
"가능성이","가능성이","162","가능성이","138","정부","125"
"페이스북","페이스북","160","부동산","131","등에","123"
"있어","있어","158","아니라","128","기준","122"
"반도체","반도체","155","예정이다","125","있다며","122"
"다양한","다양한","152","작년","123","마스크","121"
"크게","크게","152","GO","122","있어","121"
"mk","mk","149","MBN뉴스를","122","투자","117"
"예정","예정","149","등에","122","다양한","114"
"앞서","앞서","147","결과","121","때문이다","112"
"이원일","이원일","147","오른","120","사회적","111"
"부동산","부동산","146","전국","117","추가","110"
"모든","모든","132","중국의","117","확진자","110"
"온라인뉴스팀","온라인뉴스팀","129","기존","115","만큼","109"
"실적","실적","128","연구원은","114","반면","107"
"경기","경기","127","있다며","113","운세","106"
"매출","매출","123","역시","111","내린","105"
"연기","연기","118","모든","109","많이","104"
"결혼식","결혼식","116","미국의","109","대통령은","103"
"않은","않은","115","인한","109","주가가","103"
"것을","것을","113","많이","104","오전","101"
"새로운","새로운","113","기간","101","좋은","100"
"달라","달라","109","백신","101","전체","99"
"만큼","만큼","105","회장은","100","전국","98"
"MBN무단전재","MBN무단전재","104","개최","98","주식","93"
"역시","역시","104","고화질","98","규제","92"
"해외","해외","104","김주하의","98","아니라","91"
"실천","실천","103","만큼","98","이재용","91"
"수요가","수요가","102","산업부","98","크게","90"
"없다","없다","102","자동차","98","가능성이","88"
"평균","평균","101","강조했다","97","상승","88"
"기록했다","기록했다","100","무료","97","중이다","88"
"정부는","정부는","100","매출","95","작년","87"
"작년","작년","99","사업","95","삼성","85"
"아니라","아니라","98","전했다","92","신규등록","82"
"김주하의","김주하의","97","휘발유","92","당시","81"
"힘을","힘을","97","재난지원금","91","보는","77"
"재개","재개","96","이재용","90","오후","77"
"정부","정부","96","평균","90","주택","77"
"타다","타다","95","나온다","87","행운의","76"
"주식","주식","94","마스크","85","개발","74"
"막말","막말","93","개발","84","된다","74"
"아주경제","아주경제","91","아주경제","82","수도권","74"
"FDA","FDA","90","지역","82","없다","74"
"전체","전체","90","대출","80","청약","72"
"사진MBN무단전재","사진MBN무단전재","86","중국이","80","김주하의","71"
"이달","이달","86","확진자가","78","날입니다","71"
"선물","선물","84","메인에서","76","볼턴","71"
"대통령은","대통령은","83","부회장은","74","사진MBN무단전재","71"
"된다","된다","83","ℓ당","73","속보","69"
"내린","내린","78","사회적","73","재건축","69"
"견제할","견제할","77","주유소","73","전날","69"
"고발까지","고발까지","76","직접","72","개최","68"
"과속","과속","76","클럽","72","기간","68"
"이미","이미","75","당시","70","역시","68"
"장의","장의","75","실적","70","자동차","67"
"대출","대출","74","환경부","70","하반기","67"
"오는","오는","71","것이라는","69","사망","66"
"Copyright","Copyright","70","Copyright","68","일자리","65"
"미국의","미국의","70","남성","68","AI","63"
"유동성","유동성","70","된다","67","바이든","63"
"자동차","자동차","67","공장","65","결과","62"
"정당","정당","67","오전","65","대출","61"
"영향을","영향을","66","사진MBN무단전재","64","장의","59"
"해당","해당","66","수출","64","전기차","59"
"감산","감산","65","중이다","63","회장은","59"
"오후","오후","65","운세","62","삼성은","58"
"검사","검사","64","가격은","61","연구원은","58"
"그러나","그러나","64","그러나","61","오는","58"
"쓰레기","쓰레기","64","있을","61","강조했다","56"
"기사회생","기사회생","63","가격이","60","앞서","56"
"논란…차명진","논란…차명진","63","인도","58","인수","56"
"무단횡단하다","무단횡단하다","63","전체","58","이미","55"
"부둥켜안은","부둥켜안은","63","향후","58","그러나","54"
"빗길서","빗길서","63","해수부","57","대책","54"
"숨져","숨져","63","확산","54","물론","53"
"승용차에","승용차에","63","규모의","53","지분","53"
"나온다","나온다","62","금융","53","수출","52"
"달러","달러","60","온에어","53","결국","51"
"동안","동안","60","장의","53","발언","51"
"직원","직원","60","전날","53","미국의","50"
"개인","개인","59","제공","52","브랜드","50"
"등으로","등으로","59","것이란","51","대신","49"
"반면","반면","59","더욱","51","더욱","49"
"판매","판매","58","않은","51","이스타항공","49"
"계획이다","계획이다","56","주식","51","좋습니다","49"
"인해","인해","56","홍콩에","51","우리","48"
"정부의","정부의","55","대통령이","50","전세","48"
"포인트","포인트","55","배터리","50","직접","48"
"단독","단독","54","온라인뉴스팀","50","중국의","47"
"비해","비해","54","동기","49","해외","47"
"유가","유가","54","홍콩의","49","매출이","46"
"있다며","있다며","54","김정은","48","기재부","45"
"자금","자금","54","받고","48","정책","45"
"돌파","돌파","53","미중","47","지수는","45"
"실직","실직","53","현대차","47","하루","45"
"회장","회장","52","결국","46","시위가","44"
"그런","그런","51","방역","46","지원","44"
"무조건","무조건","51","선물","46","판매","44"
"예정이다","예정이다","51","계획이다","45","호텔","44"
"대통령이","대통령이","49","내린","45","논란","43"
"인보사","인보사","49","받은","45","대통령이","43"
"전동킥보드","전동킥보드","49","보이는","44","배터리","43"
"허가…코오롱","허가…코오롱","49","우리","44","않고","43"
"황교안유승민","황교안유승민","49","관련해","43","어떤","43"
"고용","고용","48","깜짝","43","해당","43"
