"","V1","ta2","V1.1","ta2.1","V1.2","ta2.2"
"지난","지난","1295","지난","1336","지난","1395"
"미국","미국","1062","미국","1217","MBN","1350"
"지난해","지난해","992","따르면","980","미국","1137"
"따르면","따르면","954","통해","980","따르면","1064"
"MBN","MBN","929","올해","948","최근","914"
"통해","통해","871","중국","944","통해","890"
"올해","올해","864","지난해","777","이날","873"
"국내","국내","841","코로나","770","서비스","863"
"최근","최근","817","국내","749","올해","794"
"가장","가장","778","같은","741","같은","773"
"같은","같은","740","최근","738","중국","738"
"대비","대비","725","밝혔다","729","트럼프","717"
"밝혔다","밝혔다","707","가장","718","서울","714"
"이날","이날","694","경우","681","가장","673"
"신종","신종","693","대비","675","밝혔다","656"
"코로나바이러스","코로나바이러스","682","이날","675","경우","621"
"경우","경우","673","신종","637","현재","592"
"코로나","코로나","673","서울","633","지난해","581"
"지난달","지난달","660","관련","624","코로나","573"
"서비스","서비스","642","코로나바이러스","606","국내","572"
"따라","따라","599","서비스","602","대비","520"
"글로벌","글로벌","540","MBN","601","따라","518"
"관계자는","관계자는","533","글로벌","577","관련","506"
"세계","세계","518","트럼프","575","신종","502"
"관련","관련","513","따라","550","대해","501"
"서울","서울","503","관계자는","521","관계자는","474"
"트럼프","트럼프","484","특히","509","것이다","466"
"현재","현재","483","현재","476","코로나바이러스","463"
"특히","특히","481","이상","457","있다는","454"
"감염증","감염증","458","있다는","442","특히","442"
"경제","경제","446","경제","440","페이스북","430"
"있다는","있다는","437","함께","436","오늘의","407"
"이상","이상","436","감염증","425","가운데","404"
"것이다","것이다","426","것이다","418","세계","404"
"사회적","사회적","424","지난달","418","이상","403"
"총선","총선","421","가운데","399","하지만","393"
"중국","중국","404","대해","388","아파트","386"
"대해","대해","403","그는","362","한국","382"
"최대","최대","390","최대","358","다른","374"
"따른","따른","386","다른","356","그는","373"
"만에","만에","376","세계","356","부동산","361"
"하지만","하지만","372","등이","345","함께","344"
"가운데","가운데","366","따른","338","단독","327"
"확진자","확진자","360","등의","337","무료","324"
"다른","다른","356","주요","331","GO","322"
"한국","한국","337","하지만","321","MBN뉴스를","322"
"기준","기준","332","뉴스를","320","고화질","322"
"시장","시장","308","만에","318","뉴스","322"
"등의","등의","303","확진자","302","최대","320"
"모두","모두","303","한국","298","mk","315"
"거리두기","거리두기","299","이에","294","메인에서","309"
"김정은","김정은","291","모두","290","감염증","301"
"이에","이에","288","단독","284","온에어","297"
"지원","지원","283","기업","276","지난달","296"
"다만","다만","282","오늘의","274","경제","295"
"주요","주요","281","페이스북","272","글로벌","291"
"각각","각각","280","삼성전자","270","만에","290"
"함께","함께","276","기준","260","오른","289"
"설명했다","설명했다","273","아파트","247","등의","279"
"오늘","오늘","265","다만","243","일본","275"
"연구원은","연구원은","264","이를","228","화제뉴스","272"
"등이","등이","243","홍콩","226","오늘","264"
"무료","무료","233","일부","225","정부가","256"
"정부가","정부가","233","정부가","223","많은","254"
