"","V1","ta2","V1.1","ta2.1","V1.2","ta2.2"
"이스타항공","이스타항공","75","기업","89","전체","78"
"전용","전용","75","실적","85","판매","77"
"작년","작년","74","있을","85","매출","76"
"행운의","행운의","74","않고","82","하세요","75"
"대통령은","대통령은","73","늘었다","81","향후","75"
"집값","집값","73","그러나","80","작년","74"
"배터리","배터리","71","전년","79","플랫폼","74"
"이제","이제","69","주택을","79","가격","72"
"일부","일부","69","회장은","79","들어","72"
"그러나","그러나","67","사랑제일교회","78","재정","72"
"기록했다","기록했다","66","보유한","76","뉴스","71"
"여러","여러","65","사상","76","신도시","70"
"좋습니다","좋습니다","65","아주경제","76","주가가","70"
"평균","평균","64","중심으로","76","코너","69"
"데이터","데이터","63","하반기","76","한경","69"
"해당","해당","63","AI","75","LG화학은","68"
"내년","내년","62","대출","75","Copyright","67"
"들어","들어","62","오전","75","배달","67"
"전기차","전기차","62","상승","74","직접","67"
"정책","정책","62","직접","73","마스크","66"
"된다","된다","61","비해","71","LG화학이","65"
"마스크","마스크","61","더욱","70","결국","65"
"서비스를","서비스를","61","가격","68","규모의","65"
"있어요","있어요","61","아베","67","않고","64"
"사모펀드","사모펀드","60","매출이","66","연구원은","64"
"상장","상장","60","있어요","66","개최","63"
"규모의","규모의","59","연속","65","경기","63"
"금리를","금리를","59","영향을","65","반면","63"
"나타났다","나타났다","59","중인","65","달러","61"
"계속","계속","58","사업을","64","등으로","61"
"최고","최고","58","신용대출","63","별자리","61"
"호텔","호텔","58","서비스를","62","전재","61"
"나스닥","나스닥","57","여전히","62","하루","61"
"바이든","바이든","57","전용","62","화웨이","61"
"오전","오전","57","수요가","61","대신","60"
"올랐다","올랐다","57","개인","59","받을","59"
"한다는","한다는","57","보이는","59","사상","59"
"받을","받을","56","하세요","59","마세요","58"
"오는","오는","56","공공","58","브랜드","58"
"상승","상승","55","나온다","58","가격이","57"
"예정이다","예정이다","55","좋습니다","58","주가","56"
"채용","채용","55","확진자가","58","지역","56"
"향후","향후","55","마이삭","57","미국의","55"
"대통령이","대통령이","54","물건","57","공모주","54"
"민주당","민주당","54","시간","56","매각","54"
"경기","경기","53","지역","56","파이낸셜뉴스","54"
"재건축","재건축","53","개발","54","것이라는","53"
"정기선","정기선","53","방역","54","국민","53"
"mkinternet","mkinternet","52","주식을","54","베트남","53"
"계약을","계약을","52","당시","53","선물","53"
"동안","동안","52","월세","53","없이","53"
"없어","없어","52","인해","53","일반","53"
"가격이","가격이","51","청약","53","고성능","52"
"방안을","방안을","51","것이라는","52","보고","52"
"없다","없다","51","대형","52","자동차","52"
"것입니다","것입니다","50","별자리별","52","중심으로","52"
"수도","수도","50","아직","52","하반기","51"
"원유","원유","50","운세는","52","매출이","50"
"하세요","하세요","50","현대차","52","신형","49"
"아파트를","아파트를","49","mkinternet","50","역대","49"
"애플","애플","49","나타났다","50","오전","49"
"전재","전재","49","의사","50","확진자","49"
"중심으로","중심으로","49","결국","49","환경부","49"
